,src,output
778,0.3651772,0.3872
779,0.39584318,0.4126
780,0.406604,0.4268
781,0.41914338,0.4275
782,0.43046725,0.4236
783,0.3953032,0.4033
784,0.36340004,0.3818
785,0.35807696,0.38
786,0.32488775,0.3435
787,0.27846512,0.2805
788,0.27743348,0.2805
789,0.1720139,0.1603
790,0.1759816,0.1716
791,0.128482,0.1151
792,0.11977539,0.1067
793,0.10864658,0.1022
794,0.124609806,0.12195
795,0.1683898,0.1697
796,0.18150602,0.1847
797,0.19736548,0.1895
798,0.22508207,0.2184
799,0.2687484,0.257
800,0.29563063,0.2954
801,0.3275868,0.336
802,0.35838228,0.3696
803,0.38967782,0.3904
804,0.41440797,0.406
805,0.4189362,0.4138
806,0.41296384,0.4072
807,0.37961182,0.3767
808,0.3477732,0.3435
809,0.3569817,0.3325
810,0.31197494,0.2976
811,0.26453796,0.2532
812,0.27069277,0.2532
813,0.18197145,0.1675
814,0.1819519,0.1749
815,0.13910022,0.1194
816,0.33490416,0.4014
817,0.31119117,0.3782
818,0.3270687,0.3762
819,0.3174057,0.3567
820,0.28276506,0.3066
821,0.27199158,0.3066
822,0.16667205,0.1996
823,0.17058438,0.2096
824,0.115037054,0.1489
825,0.104132496,0.1376
826,0.09644649,0.1398
827,0.124747254,0.1589
828,0.17697036,0.2051
829,0.20450631,0.2213
830,0.21753563,0.2217
831,0.22939034,0.235
832,0.24654146,0.2483
833,0.27094308,0.258
834,0.2894768,0.2627
835,0.30765095,0.2637
836,0.32499647,0.2703
837,0.3346425,0.2876
838,0.33485788,0.3071
839,0.29016495,0.3152
840,0.27744898,0.3145
841,0.25960773,0.3064
842,0.27491015,0.3105
843,0.26623225,0.2983
844,0.23396252,0.2598
845,0.22696532,0.2598
846,0.1367613,0.1638
847,0.14571556,0.1736
848,0.09955288,0.1294
849,0.09057823,0.121
850,0.08209461,0.12195
851,0.10772173,0.145
852,0.15726581,0.1934
853,0.19530676,0.2139
854,0.20162134,0.2181
855,0.19670324,0.2291
856,0.21360855,0.2418
857,0.23835453,0.2534
858,0.2629469,0.27
859,0.28142786,0.2866
860,0.28821078,0.3115
861,0.31797734,0.3528
862,0.32218486,0.3892
863,0.29478034,0.406
864,0.20257096,0.1982
865,0.20575751,0.1937
866,0.20544194,0.1888
867,0.21328668,0.1924
868,0.22129929,0.1937
869,0.210897,0.1879
870,0.21431993,0.1824
871,0.22342917,0.1951
872,0.20923804,0.1853
873,0.17865565,0.1655
874,0.18306363,0.1655
875,0.11349749,0.10345
876,0.122656874,0.10895
877,0.08435232,0.07196
878,0.079300426,0.0666
879,0.083036736,0.06464
880,0.10205915,0.0703
881,0.13318431,0.08624
882,0.15263037,0.10376
883,0.16611819,0.1262
884,0.18448095,0.1519
885,0.19108729,0.1722
886,0.18937585,0.1859
887,0.1867112,0.1931
888,0.18343852,0.1937
889,0.17990978,0.2035
